name,dose,tier_num,tier_desc,cost_30,cost_90,management,year
DAPTOMYCIN,500 MG VIAL [CUBICIN],5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
DARAPRIM,25 MG TABLET,5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
DARZALEX,100 MG/5 ML VIAL,5,Specialty Tier,25%,N/A,P Q:400/30Days,2018-01-01T00:00:00Z
DEBLITANE,0.35 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DELYLA-28,TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DEMECLOCYCLINE,150 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DEMECLOCYCLINE,300 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DEMSER,CAPSULES 250MG (100 CT),5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
DENAVIR,1% CREAM,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
DEPEN,250MG TITRATAB,5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
DEPO-ESTRADIOL,5MG/ML VIAL,4,Non-Preferred Drug,35%,30%,Q:5/30Days,2018-01-01T00:00:00Z
DESCOVY,200-25 MG TABLET,5,Specialty Tier,25%,N/A,Q:30/30Days,2018-01-01T00:00:00Z
DESIPRAMINE,10 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DESIPRAMINE,150 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DESIPRAMINE,25MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DESIPRAMINE,50 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DESIPRAMINE,75 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DESIPRAMINE,HYDROCHLORIDE TABLETS USP 100MG 100 BOT,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DESMOPRESSIN,ACETATE 0.1 MG TB,4,Non-Preferred Drug,35%,30%,Q:180/30Days,2018-01-01T00:00:00Z
DESMOPRESSIN,ACETATE 0.1MG/ML 1 VIAL IN 1 CARTON / 2.5 ML IN 1 VIAL,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DESMOPRESSIN,ACETATE 0.2 MG TB,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DESMOPRESSIN,ACETATE NASAL SOLUTION 0.1% 5 ML BOTSPR,4,Non-Preferred Drug,35%,30%,Q:25/30Days,2018-01-01T00:00:00Z
DESOGESTR-ETH,ESTRAD,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DESOXIMETASONE,0.25% CREAM,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DESOXIMETASONE,0.25% OINTMENT,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DESVENLAFAXINE,SUCCINATE ER 100 MG [PRISTIQ],4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DESVENLAFAXINE,SUCCINATE ER 25 MG TB [PRISTIQ],4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DESVENLAFAXINE,SUCCINATE ER 50 MG TB [PRISTIQ],4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXAMETHASONE,0.1% EYE DROP,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DEXAMETHASONE,0.5MG TABLET,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DEXAMETHASONE,0.5MG/0.5ML DROP,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DEXAMETHASONE,0.5MG/5ML ELX,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DEXAMETHASONE,0.75MG TABLET,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DEXAMETHASONE,1.5MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DEXAMETHASONE,10 MG/ML INJECTABLE SOLUTION,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DEXAMETHASONE,1MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DEXAMETHASONE,2MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DEXAMETHASONE,4MG TABLET,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DEXAMETHASONE,6MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DEXAMETHASONE,SODIUM PHOSPHATE INJECTION 4MG 30ML VIALMD,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DEXILANT,CAPSULES DELAYED RELEASE 30 MG,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXILANT,DR 60 MG CAPSULE,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXMETHYLPHENIDATE,ER 10 MG CAP,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXMETHYLPHENIDATE,ER 15 MG CP,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXMETHYLPHENIDATE,ER 20 MG CP,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXMETHYLPHENIDATE,ER 25 MG CP,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXMETHYLPHENIDATE,ER 30 MG CP,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXMETHYLPHENIDATE,ER 35 MG CP,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXMETHYLPHENIDATE,ER 40 MG CP,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXMETHYLPHENIDATE,ER 5 MG CAP,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXMETHYLPHENIDATE,HCL 10MG TABLET,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
DEXMETHYLPHENIDATE,HCL 2.5MG TABLET,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
DEXMETHYLPHENIDATE,HCL 5MG TABLET,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
DEXTROAMP-AMPHET,ER 10 MG CAP,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXTROAMP-AMPHET,ER 15 MG CAP,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXTROAMP-AMPHET,ER 20 MG CAP,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
DEXTROAMP-AMPHET,ER 25 MG CAP,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
DEXTROAMP-AMPHET,ER 30 MG CAP,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
DEXTROAMP-AMPHET,ER 5 MG CAP,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DEXTROAMP-AMPHETAMIN,20 MG TAB,3,Preferred Brand,20%,15%,Q:90/30Days,2018-01-01T00:00:00Z
DEXTROAMP-AMPHETAMIN,30 MG TAB,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
DEXTROAMP-AMPHETAMINE,5 MG TAB,3,Preferred Brand,20%,15%,Q:90/30Days,2018-01-01T00:00:00Z
DEXTROAMPHETAMINE,10 MG TAB,4,Non-Preferred Drug,35%,30%,Q:180/30Days,2018-01-01T00:00:00Z
DEXTROAMPHETAMINE,5MG TABLET,4,Non-Preferred Drug,35%,30%,Q:150/30Days,2018-01-01T00:00:00Z
DEXTROAMPHETAMINE,SACCHARATE AND SULFATE AMPHETAMINE ASPARTATE 10MG TABLET (100 CT),3,Preferred Brand,20%,15%,Q:90/30Days,2018-01-01T00:00:00Z
DEXTROSE,5%-0.9% NACL IV SOLN,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DEXTROSE,5%-1/4NS IV SOLUTION,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DEXTROSE,IN SODIUM CHLORIDE INJECTION,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DEXTROSE,IN SODIUM CHLORIDE INJECTION 1000ML X 12 CASE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DEXTROSE,IN SODIUM CHLORIDE INJECTION 500ML X 24 BAG,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DEXTROSE,INJECTION USP 5 4 X 100ML CTR,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DIASTAT,2.5 MG PEDI SYSTEM,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIASTAT,ACUDIAL 12.5-15-20 MG,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIASTAT,ACUDIAL 5-7.5-10 MG KT,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIAZEPAM,10 MG TABLET,3,Preferred Brand,20%,15%,Q:120/30Days,2018-01-01T00:00:00Z
DIAZEPAM,2 MG TABLET,3,Preferred Brand,20%,15%,Q:90/30Days,2018-01-01T00:00:00Z
DIAZEPAM,5 MG TABLET,3,Preferred Brand,20%,15%,Q:90/30Days,2018-01-01T00:00:00Z
DIAZEPAM,"5MG/5ML 500 ML IN 1 BOTTLE, PLASTIC",4,Non-Preferred Drug,35%,30%,Q:1200/30Days,2018-01-01T00:00:00Z
DIAZEPAM,"INTENSOL 5MG/ML 1 BOTTLE, DROPPER PER CARTON / 30 ML IN 1 BOTTLE, DROPPER",4,Non-Preferred Drug,35%,30%,Q:240/30Days,2018-01-01T00:00:00Z
DICLOFENAC,0.1% EYE DROPS,2,Generic,$1.00 ,$0.00 ,Q:5/30Days,2018-01-01T00:00:00Z
DICLOFENAC,POT 50 MG TABLET,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DICLOFENAC,SOD EC 25 MG TAB,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DICLOFENAC,SOD EC 50 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DICLOFENAC,SOD EC 75 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DICLOFENAC,SOD ER 100 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DICLOXACILLIN,250MG CAPSULE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DICLOXACILLIN,SODIUM 500MG CAP,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DICYCLOMINE,10 MG CAPSULE,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DICYCLOMINE,20 MG TABLET,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DICYCLOMINE,HCL 10MG/5ML SYRUP,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DIDANOSINE,"200MG/1 30 CAPSULE, DELAYED RELEASE PELLETS IN 1 BOTTLE",4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
DIDANOSINE,DELAYED RELEASE CAPSULES 125MG 30 BOT,4,Non-Preferred Drug,35%,30%,Q:90/30Days,2018-01-01T00:00:00Z
DIDANOSINE,DR 250 MG CAPSULE,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DIDANOSINE,DR 400 MG CAPSULE,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DIFICID,200MG/1 1 BOTTLE PER CARTON / 20 FILM COATED TABLETS IN BOTTLE,5,Specialty Tier,25%,N/A,S Q:20/10Days,2018-01-01T00:00:00Z
DIGITEK,125 MCG TABLET,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
DIGITEK,250 MCG TABLET,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DIGOXIN,"0.05MG/ML 60 ML IN 1 BOTTLE, DROPPER",4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIGOXIN,125UG 100 TABLET BOTTLE,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
DIGOXIN,250 MCG TABLET,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DILANTIN,50MG INFATAB,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DILANTIN,CAPSULES 30 MG ER,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DILANTIN,EXTENDED ORAL CAPSULE 100MG (100 CT),4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DILANTIN-125,SUS 125/5ML,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DILT,XR 120 MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
DILT,XR 180 MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
DILT,XR 240 MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
DILTIAZEM,24HR ER 120 MG CAP,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
DILTIAZEM,24HR ER 240 MG CAP,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
DILTIAZEM,24HR ER 300 MG CAP,3,Preferred Brand,20%,15%,Q:30/30Days,2018-01-01T00:00:00Z
DILTIAZEM,30 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DILTIAZEM,60 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DILTIAZEM,90 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DILTIAZEM,HCL 120MG ER CAPSULE,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DILTIAZEM,HCL 120MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DILTIAZEM,HCL 180 MG ER 500 CAPSULE BOTTLE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
DILTIAZEM,HCL 360 MG ER CAPSULES,3,Preferred Brand,20%,15%,Q:30/30Days,2018-01-01T00:00:00Z
DILTIAZEM,HCL 60 MG ER CAPSULE,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DILTIAZEM,HCL 90 MG ER CAPSULES 100 CAPSULE BOTTLE,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DILTIAZEM,HCL ER 420 MG CAP,3,Preferred Brand,20%,15%,Q:30/30Days,2018-01-01T00:00:00Z
DIPH-TETANUS,TOX-ACELL PERT ADSORBED AND IPV VACCINE 0.5 ML PREFILLED SYRINGE [KINRIX],4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIPH-TETANUS,TOX-ACELL PERT-HEPATITIS B-POLIO IPV VAC 0.5 ML PREFILLED SYRINGE [PEDIARIX],4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIPHENHYDRAMINE,50 MG/ML VIAL,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIPHENOXYLATE,HYDROCHLORIDE AND ATROPINE SULFATE 0.025; 2.5MG 100 TABLET BOTTLE,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIPHENOXYLATE/ATROPINE,LIQ,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIPHTHERIA,TOXOID VACCINE 25 UNT/ML / TETANUS TOXOID VACCINE 5 UNT PER 0.5 ML INJECTABLE SUSPENSION,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIPHTHERIA,"TOXOID VACCINE, INACT 4 UNT/ML / TETANUS TOXOID VACCINE, INACT 4 UNT/ML INJ SUS",4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
"DIPHTHERIA,","TETANUS TOXOIDS, ACELLULAR PERTUSSIS, AND INACTIVATED POLIOVIRUS VACCINE 0.5 ML INJECTIO",4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIPYRIDAMOLE,25 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIPYRIDAMOLE,50 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIPYRIDAMOLE,75 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DISOPYRAMIDE,100 MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DISOPYRAMIDE,PHOSPHATE 150MG CAPSULE USP (100 CT),4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DISULFIRAM,250 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DISULFIRAM,500 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIURIL,250MG/5ML SUSPENSION ORAL,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIVALPROEX,DR 125 MG CAP SPRNK,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DIVALPROEX,SOD DR 250 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DIVALPROEX,SOD DR 500 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DIVALPROEX,SOD ER 500 MG TAB,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DIVALPROEX,SODIUM 125MG TBEC,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DIVALPROEX,SODIUM ER TABLETS 250MG 100 BOT,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DOFETILIDE,125 MCG CAPSULE [TIKOSYN],4,Non-Preferred Drug,35%,30%,Q:240/30Days,2018-01-01T00:00:00Z
DOFETILIDE,250 MCG CAPSULE [TIKOSYN],4,Non-Preferred Drug,35%,30%,Q:120/30Days,2018-01-01T00:00:00Z
DOFETILIDE,500 MCG CAPSULE [TIKOSYN],4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
DONEPEZIL,HCL 10 MG TABLET,2,Generic,$1.00 ,$0.00 ,Q:60/30Days,2018-01-01T00:00:00Z
DONEPEZIL,HCL 5 MG TABLET,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
DONEPEZIL,HCL ODT 10 MG TABLET,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
DONEPEZIL,HCL ODT 5 MG TABLET,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
DORZOLAMIDE,HCL OPHTHALMIC 2% 10 ML BOTDR,2,Generic,$1.00 ,$0.00 ,Q:10/30Days,2018-01-01T00:00:00Z
DORZOLAMIDE,"HYDROCHLORIDE AND TIMOLOL MALEATE 20; 5MG/ML; MG/ML 1 BOTTLE, DROPPER IN 1 BOX / 10 ML",2,Generic,$1.00 ,$0.00 ,Q:10/30Days,2018-01-01T00:00:00Z
DOXAZOSIN,MESYLATE 1 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DOXAZOSIN,MESYLATE 2 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DOXAZOSIN,MESYLATE 4 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DOXAZOSIN,MESYLATE 8 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
DOXEPIN,10 MG/ML ORAL CONC,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DOXEPIN,10MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DOXEPIN,150 MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DOXEPIN,50 MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DOXEPIN,75MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DOXEPIN,HCL 25MG CAPSULE (100 CT),4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DOXEPIN,HYDROCHLORIDE CAPSULES 100MG 100 BOT,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DOXY,100 VIAL,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DOXYCYCLINE,25 MG/5 ML SUSP,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DOXYCYCLINE,75MG/1,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
DOXYCYCLINE,HYCLATE 100 MG CAP,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DOXYCYCLINE,HYCLATE 100 MG TAB,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DOXYCYCLINE,HYCLATE 20MG TABLET (100 CT),3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DOXYCYCLINE,HYCLATE 50 MG CAP,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DOXYCYCLINE,MONO 100 MG CAP,2,Generic,$1.00 ,$0.00 ,Q:60/30Days,2018-01-01T00:00:00Z
DOXYCYCLINE,MONO 100 MG TABLET,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DOXYCYCLINE,MONO 50 MG CAP,2,Generic,$1.00 ,$0.00 ,Q:60/30Days,2018-01-01T00:00:00Z
DOXYCYCLINE,MONO 50 MG TABLET,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DOXYCYCLINE,MONO 75 MG TABLET,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DOXYCYCLINE,MONOHYDRATE 150 MG ORAL CAPSULE,4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
DRONABINOL,CAPS 10MG,4,Non-Preferred Drug,35%,30%,P Q:120/30Days,2018-01-01T00:00:00Z
DRONABINOL,CAPS 2.5MG,4,Non-Preferred Drug,35%,30%,P Q:120/30Days,2018-01-01T00:00:00Z
DRONABINOL,CAPS 5MG,4,Non-Preferred Drug,35%,30%,P Q:120/30Days,2018-01-01T00:00:00Z
DROSPIRENONE-EE,3-0.02 MG TAB,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DROSPIRENONE-ETH,ESTRADIOL TAB,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DROXIA,200MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DROXIA,300MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DROXIA,400MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
DUAVEE,0.45-20 MG TABLET,4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
DULOXETINE,HCL DR 20 MG CAP [CYMBALTA],3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
DULOXETINE,HCL DR 30 MG CAP [CYMBALTA],3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
DULOXETINE,HCL DR 40 MG CAPSULE [CYMBALTA],4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
DULOXETINE,HCL DR 60 MG CAP [CYMBALTA],3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
DUREZOL,0.05% EYE DROPS,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
DUTASTERIDE,0.5 MG CAPSULE,3,Preferred Brand,20%,15%,Q:30/30Days,2018-01-01T00:00:00Z
EDURANT,27.5MG/1,5,Specialty Tier,25%,N/A,Q:30/30Days,2018-01-01T00:00:00Z
EGRIFTA,2 MG VIAL,5,Specialty Tier,25%,N/A,P Q:60/30Days,2018-01-01T00:00:00Z
ELAVIL,25 MG TABLET,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ELIDEL,1% CREAM,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ELIQUIS,2.5 MG TABLET,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
ELIQUIS,5 MG TABLET,3,Preferred Brand,20%,15%,Q:74/30Days,2018-01-01T00:00:00Z
ELITEK,3 KIT PER CARTON / 1 KIT IN 1 KIT,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
ELITEK,7.5 MG VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
ELMIRON,100MG GELATIN COATED 100 CAPSULE BOTTLE,4,Non-Preferred Drug,35%,30%,Q:90/30Days,2018-01-01T00:00:00Z
EMBEDA,ER 100-4 MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
EMBEDA,ER 20-0.8 MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
EMBEDA,ER 30-1.2 MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
EMBEDA,ER 50-2 MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
EMBEDA,ER 60-2.4 MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
EMBEDA,ER 80-3.2 MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
EMCYT,140MG CAPSULE,5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
EMEND,150 MG VIAL,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
EMOQUETTE,6 BLISTER PACK PER CARTON / 1 KIT PER BLISTER PACK,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
EMPAGLIFLOZIN,5 MG / METFORMIN HYDROCHLORIDE 500 MG ORAL TABLET [SYNJARDY],3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
EMPLICITI,300 MG VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
EMPLICITI,400 MG VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
EMSAM,TRANSDERMAL SYSTEM PATCHES 12MG/24H,5,Specialty Tier,25%,N/A,Q:30/30Days,2018-01-01T00:00:00Z
EMSAM,TRANSDERMAL SYSTEM PATCHES 6MG/24H,5,Specialty Tier,25%,N/A,Q:30/30Days,2018-01-01T00:00:00Z
