name,tier_num,tier_desc,cost_share_30_day,cost_share_90_day,management,year
AMLOD-VALSA-HCTZ 10-320-25 MG [EXFORGE HCT],2,Generic,$17.00 ,$42.50 ,None,2017
AMLOD-VALSA-HCTZ 5-160-12.5 MG [EXFORGE HCT],2,Generic,$17.00 ,$42.50 ,None,2017
AMLOD-VALSA-HCTZ 5-160-25 MG [EXFORGE HCT],2,Generic,$17.00 ,$42.50 ,None,2017
AMLODIPINE BESYLATE 10MG TABLET (90 CT),1,Preferred Generic,$3.00 ,$7.50 ,None,2017
AMLODIPINE BESYLATE 2.5MG TABLET (90 CT),1,Preferred Generic,$3.00 ,$7.50 ,None,2017
AMLODIPINE BESYLATE 5MG TABLET (90 CT),1,Preferred Generic,$3.00 ,$7.50 ,None,2017
AMLODIPINE BESYLATE-BENAZEPRIL 10MG-20MG CAPSULE,2,Generic,$17.00 ,$42.50 ,None,2017
AMLODIPINE BESYLATE-BENAZEPRIL 2.5MG-10MG CAPSULE,2,Generic,$17.00 ,$42.50 ,None,2017
AMLODIPINE BESYLATE-BENAZEPRIL 5-10MG CAPSULE,2,Generic,$17.00 ,$42.50 ,None,2017
AMLODIPINE BESYLATE-BENAZEPRIL 5MG-20MG CAPSULE,2,Generic,$17.00 ,$42.50 ,None,2017
AMLODIPINE-BENAZEPRIL 10-40 MG,2,Generic,$17.00 ,$42.50 ,None,2017
AMLODIPINE-BENAZEPRIL 5-40 MG,2,Generic,$17.00 ,$42.50 ,None,2017
AMLODIPINE-OLMESARTAN 5-40 MG [Azor],2,Generic,$17.00 ,$42.50 ,None,2017
Amlodipine-Olmesartan medoxomil  10 MG / 20 MG Oral Tablet [Azor],2,Generic,$17.00 ,$42.50 ,None,2017
Amlodipine-Olmesartan medoxomil  10 MG / 40 MG Oral Tablet [Azor],2,Generic,$17.00 ,$42.50 ,None,2017
Amlodipine-Olmesartan medoxomil  5 MG / 20 MG Oral Tablet [Azor],2,Generic,$17.00 ,$42.50 ,None,2017
AMLODIPINE-VALSARTAN 10-160 MG,2,Generic,$17.00 ,$42.50 ,None,2017
AMLODIPINE-VALSARTAN 10-320 MG,2,Generic,$17.00 ,$42.50 ,None,2017
AMLODIPINE-VALSARTAN 5-160 MG,2,Generic,$17.00 ,$42.50 ,None,2017
AMLODIPINE-VALSARTAN 5-320 MG,2,Generic,$17.00 ,$42.50 ,None,2017
AMMONIUM LACTATE 12% CREAM,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMMONIUM LACTATE 12% LOTION,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMOX TR-K CLV 500-125 MG TAB,2,Generic,$17.00 ,$42.50 ,None,2017
AMOX TR-POTASSIUM CLAVULANATE 200-28.5MG TABLET CHEWABLE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMOX TR-POTASSIUM CLAVULANATE 250-125MG TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
AMOX TR-POTASSIUM CLAVULANATE 400-57MG TABLET CHEWABLE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMOX TR-POTASSIUM CLAVULANATE 400-57MG/5 SUSPENSION RECONSTITUTED ORAL,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMOX-CLAV 200-28.5 MG/5 ML SUS,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMOXAPINE 100MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMOXAPINE 150MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMOXAPINE 25MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMOXAPINE 50MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMOXICILLIN 125MG TABLET CHEW,2,Generic,$17.00 ,$42.50 ,None,2017
AMOXICILLIN 250MG 500 CHEWABLE TABLET in BOTTLE,2,Generic,$17.00 ,$42.50 ,None,2017
AMOXICILLIN 250MG CAPSULE,2,Generic,$17.00 ,$42.50 ,None,2017
AMOXICILLIN 50 MG/ML / CLAVULANATE 12.5 MG/ML ORAL SUSPENSION,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMOXICILLIN 500MG 500 CAPSULE BOTTLE,2,Generic,$17.00 ,$42.50 ,None,2017
AMOXICILLIN 500MG TABLET (100 CT),2,Generic,$17.00 ,$42.50 ,None,2017
AMOXICILLIN 875MG TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
AMOXICILLIN AND CLAVULANATE POTASSIUM TABLETS 875;125MG;MG 20 BOT,2,Generic,$17.00 ,$42.50 ,None,2017
AMOXICILLIN AND CLAVULANATE POTASSIUM TABLETS EXTENDED RELEASE 1000;62.5MG;MG,4,Non-Preferred Drug,48%,48%,None,2017
AMOXICILLIN CLAVULANATE POTASSIUM FOR SUSPENSION 600-42.9MG 125ML BOT,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMOXICILLIN FOR ORAL SUSPENSION 125MG/5ML 100ML BOT,2,Generic,$17.00 ,$42.50 ,None,2017
AMOXICILLIN FOR ORAL SUSPENSION 200MG/5ML 100ML BOTGL,2,Generic,$17.00 ,$42.50 ,None,2017
AMOXICILLIN FOR ORAL SUSPENSION 250MG/5ML 100ML BOT,2,Generic,$17.00 ,$42.50 ,None,2017
AMOXICILLIN FOR ORAL SUSPENSION 400MG/5ML 50ML BOTGL,2,Generic,$17.00 ,$42.50 ,None,2017
AMPHETAMINE SALT COMBO 12.5MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,Q:144/30Days,2017
AMPHETAMINE SALT COMBO 15MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,Q:120/30Days,2017
AMPHETAMINE SALT COMBO 7.5MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,Q:240/30Days,2017
AMPHETAMINE SALTS 5 MG TAB,3,Preferred Brand,$47.00 ,$117.50 ,Q:360/30Days,2017
amphotericin b 50mg/10mL 10 mL in 1 VIAL,4,Non-Preferred Drug,48%,48%,P,2017
"Ampicillin 125mg/1 10 VIAL, GLASS in 1 PACKAGE / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL, GLASS",4,Non-Preferred Drug,48%,48%,None,2017
AMPICILLIN CAPSULES 250MG 100 BOT,2,Generic,$17.00 ,$42.50 ,None,2017
AMPICILLIN CAPSULES 500MG 100 BOT,2,Generic,$17.00 ,$42.50 ,None,2017
AMPICILLIN FOR INJECTION POWDER,4,Non-Preferred Drug,48%,48%,None,2017
AMPICILLIN FOR ORAL SUSPENSION 125MG 100ML BOT,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMPICILLIN FOR ORAL SUSPENSION 250MG 100ML BOT,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMPICILLIN POWDER FOR INJECTION 1 GM/ML,4,Non-Preferred Drug,48%,48%,None,2017
ampicillin-sulbactam 1.5 gm vl,4,Non-Preferred Drug,48%,48%,None,2017
AMPICILLIN-SULBACTAM 15 GM VIAL,4,Non-Preferred Drug,48%,48%,None,2017
AMPICILLIN-SULBACTAM 3 GM VIAL,4,Non-Preferred Drug,48%,48%,None,2017
AMPYRA ER 10 MG TABLET,5,Specialty Tier,33%,N/A,P,2017
ANADROL-50 TABLET,5,Specialty Tier,33%,N/A,P,2017
Anagrelide Hydrochloride 0.5mg/1 100 CAPSULE BOTTLE,4,Non-Preferred Drug,48%,48%,None,2017
Anagrelide Hydrochloride 1mg/1 100 CAPSULE BOTTLE,4,Non-Preferred Drug,48%,48%,None,2017
"Anastrozole 1mg/1 90 FILM COATED TABLETS in BOTTLE, PLASTIC",2,Generic,$17.00 ,$42.50 ,None,2017
ANDRODERM 2 MG/24HR PATCH,4,Non-Preferred Drug,48%,48%,P Q:30/30Days,2017
ANDRODERM 4 MG/24HR PATCH,4,Non-Preferred Drug,48%,48%,P Q:30/30Days,2017
ANORO ELLIPTA 62.5-25 MCG INH,3,Preferred Brand,$47.00 ,$117.50 ,Q:60/30Days,2017
APOKYN 30 MG/3 ML CARTRIDGE,5,Specialty Tier,33%,N/A,P,2017
APREPITANT 125 MG CAPSULE [Emend],4,Non-Preferred Drug,48%,48%,P,2017
APREPITANT 125-80-80 MG PACK [Emend],4,Non-Preferred Drug,48%,48%,P,2017
APREPITANT 40 MG CAPSULE [Emend],4,Non-Preferred Drug,48%,48%,P,2017
APREPITANT 80 MG CAPSULE [Emend],4,Non-Preferred Drug,48%,48%,P,2017
APRI 0.15-0.03 TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
APRISO CP24,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
APTIOM 200 MG TABLET,4,Non-Preferred Drug,48%,48%,Q:180/30Days,2017
APTIOM 400 MG TABLET,4,Non-Preferred Drug,48%,48%,Q:90/30Days,2017
APTIOM 600 MG TABLET,4,Non-Preferred Drug,48%,48%,Q:60/30Days,2017
APTIOM 800 MG TABLET,4,Non-Preferred Drug,48%,48%,Q:60/30Days,2017
APTIVUS 250MG CAPSULE,5,Specialty Tier,33%,N/A,None,2017
APTIVUS ORAL SOLUTION 100MG/ML 95 ML BOT,5,Specialty Tier,33%,N/A,None,2017
ARALAST NP 500 MG VIAL,5,Specialty Tier,33%,N/A,P,2017
ARANELLE 7-9-5 TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ARCALYST INJECTION 220MG/VIAL,5,Specialty Tier,33%,N/A,P,2017
ARIPIPRAZOLE 10 MG TABLET [Abilify],4,Non-Preferred Drug,48%,48%,Q:30/30Days,2017
ARIPIPRAZOLE 15 MG TABLET [Abilify],4,Non-Preferred Drug,48%,48%,Q:30/30Days,2017
ARIPIPRAZOLE 2 MG TABLET [Abilify],4,Non-Preferred Drug,48%,48%,Q:30/30Days,2017
ARIPIPRAZOLE 20 MG TABLET [Abilify],4,Non-Preferred Drug,48%,48%,Q:30/30Days,2017
ARIPIPRAZOLE 30 MG TABLET [Abilify],4,Non-Preferred Drug,48%,48%,Q:30/30Days,2017
ARIPIPRAZOLE 5 MG TABLET [Abilify],4,Non-Preferred Drug,48%,48%,Q:30/30Days,2017
ARIPIPRAZOLE ODT 10 MG TABLET [Abilify],5,Specialty Tier,33%,N/A,Q:60/30Days,2017
ARIPIPRAZOLE ODT 15 MG TABLET [Abilify],5,Specialty Tier,33%,N/A,Q:60/30Days,2017
ARISTADA ER 1064 MG/3.9 ML SYR,4,Non-Preferred Drug,48%,48%,Q:4/56Days,2017
ARISTADA ER 441 MG/1.6 ML SYRN,4,Non-Preferred Drug,48%,48%,Q:2/28Days,2017
ARISTADA ER 662 MG/2.4 ML SYRN,4,Non-Preferred Drug,48%,48%,Q:2/28Days,2017
ARISTADA ER 882 MG/3.2 ML SYRN,4,Non-Preferred Drug,48%,48%,Q:3/28Days,2017
Armodafinil 150 MG TABLET [NUVIGIL],3,Preferred Brand,$47.00 ,$117.50 ,P Q:60/30Days,2017
Armodafinil 200 MG Oral Tablet [NUVIGIL],3,Preferred Brand,$47.00 ,$117.50 ,P Q:30/30Days,2017
Armodafinil 250 MG TABLET [NUVIGIL],3,Preferred Brand,$47.00 ,$117.50 ,P Q:30/30Days,2017
Armodafinil 50 MG TABLET [NUVIGIL],3,Preferred Brand,$47.00 ,$117.50 ,P Q:150/30Days,2017
ARNUITY ELLIPTA 100 MCG INH,4,Non-Preferred Drug,48%,48%,Q:30/30Days,2017
ARNUITY ELLIPTA 200 MCG INH,4,Non-Preferred Drug,48%,48%,Q:30/30Days,2017
ASACOL HD DR 800 MG TABLET,4,Non-Preferred Drug,48%,48%,None,2017
ATENOLOL 100 MG100 TABLET BOTTLE,1,Preferred Generic,$3.00 ,$7.50 ,None,2017
ATENOLOL 25 MG 100 TABLET BOTTLE,1,Preferred Generic,$3.00 ,$7.50 ,None,2017
ATENOLOL TABLET USP 50MG (100 CT),1,Preferred Generic,$3.00 ,$7.50 ,None,2017
ATENOLOL-CHLORTHALIDONE 100-25,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ATENOLOL/CHLORTHALIDONE TABLET 50-25MG (100 CT),3,Preferred Brand,$47.00 ,$117.50 ,None,2017
Atomoxetine 10 MG Oral Capsule [Strattera],4,Non-Preferred Drug,48%,48%,Q:120/30Days,2017
Atomoxetine 100 MG Oral Capsule [Strattera],4,Non-Preferred Drug,48%,48%,Q:30/30Days,2017
Atomoxetine 18 MG Oral Capsule [Strattera],4,Non-Preferred Drug,48%,48%,Q:120/30Days,2017
Atomoxetine 25 MG Oral Capsule [Strattera],4,Non-Preferred Drug,48%,48%,Q:120/30Days,2017
Atomoxetine 40 MG Oral Capsule [Strattera],4,Non-Preferred Drug,48%,48%,Q:60/30Days,2017
Atomoxetine 60 MG Oral Capsule [Strattera],4,Non-Preferred Drug,48%,48%,Q:30/30Days,2017
Atomoxetine 80 MG Oral Capsule [Strattera],4,Non-Preferred Drug,48%,48%,Q:30/30Days,2017
ATORVASTATIN 10 MG TABLET [Lipitor],1,Preferred Generic,$3.00 ,$7.50 ,None,2017
ATORVASTATIN 20 MG TABLET [Lipitor],1,Preferred Generic,$3.00 ,$7.50 ,None,2017
ATORVASTATIN 40 MG TABLET [Lipitor],1,Preferred Generic,$3.00 ,$7.50 ,None,2017
ATORVASTATIN 80 MG TABLET [Lipitor],1,Preferred Generic,$3.00 ,$7.50 ,None,2017
ATOVAQUONE 750 MG/5 ML SUSP [Mepron],5,Specialty Tier,33%,N/A,None,2017
Atovaquone-Proguanil 250; 100mg/1; mg/1 [Malarone],4,Non-Preferred Drug,48%,48%,None,2017
Atovaquone-Proguanil 62.5-25 [Malarone],4,Non-Preferred Drug,48%,48%,None,2017
"Atripla 600; 200; 300mg/1; mg/1; mg/1 30 FILM COATED TABLETS in BOTTLE, PLASTIC",5,Specialty Tier,33%,N/A,None,2017
ATROVENT HFA AER 17MCG,4,Non-Preferred Drug,48%,48%,Q:26/30Days,2017
AUBRA-28 TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AURYXIA 210 MG TABLET,4,Non-Preferred Drug,48%,48%,None,2017
AVASTIN 100MG/4ML VIAL,5,Specialty Tier,33%,N/A,P,2017
AVASTIN 400 MG/16 ML VIAL,5,Specialty Tier,33%,N/A,P,2017
AVIANE 0.1-0.02 TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AVITA 0.025% CREAM,4,Non-Preferred Drug,48%,48%,P,2017
Avita 0.25mg/g 45 g in 1 TUBE,4,Non-Preferred Drug,48%,48%,P,2017
"AXIRON 30mg/1.5mL 1 BOTTLE, WITH APPLICATOR per CARTON / 90 mL in 1 BOTTLE, WITH APPLICATOR",3,Preferred Brand,$47.00 ,$117.50 ,P Q:440/30Days,2017
Azacitidine 100 mg vial [Vidaza],5,Specialty Tier,33%,N/A,P,2017
AZACTAM INJECTION 1GM/50ML,4,Non-Preferred Drug,48%,48%,None,2017
AZACTAM INJECTION 2GM/50ML,4,Non-Preferred Drug,48%,48%,None,2017
AZATHIOPRINE 50 MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,P,2017
AZATHIOPRINE SODIUM 100 MG VIAL,4,Non-Preferred Drug,48%,48%,P,2017
AZELASTINE 0.15% NASAL SPRAY,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AZELASTINE 137 MCG NASAL SPRAY,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AZELASTINE HYDROCHLORIDE OPHTHALMIC SOLUTION,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AZITHROMYCIN 1 GM PWD PACKET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AZITHROMYCIN 100 MG/5 ML SUSP,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
Azithromycin 200mg/5mL 22.5 mL in 1 BOTTLE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AZITHROMYCIN 250 MG TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
AZITHROMYCIN 250 MG TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
Azithromycin 500 mg tablet,2,Generic,$17.00 ,$42.50 ,None,2017
"Azithromycin 500mg/1 10 VIAL, SINGLE-USE in 1 TRAY / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",4,Non-Preferred Drug,48%,48%,None,2017
Azithromycin 500mg/1 30 FILM COATED TABLETS in BOTTLE,2,Generic,$17.00 ,$42.50 ,None,2017
Azithromycin 600mg/1 30 FILM COATED TABLETS in BOTTLE,2,Generic,$17.00 ,$42.50 ,None,2017
AZOPT SUSPENSION OPHTHALMIC 1% 15ML BOT,4,Non-Preferred Drug,48%,48%,None,2017
AZTREONAM FOR INJECTION,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ABACAVIR 300 MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
Abacavir Sulfate-Lamivudine-Zidovudine tablets [Trizivir],5,Specialty Tier,33%,N/A,None,2017
ABACAVIR-LAMIVUDINE 600-300 MG [Epzicom],5,Specialty Tier,33%,N/A,None,2017
ABELCENT INJECTION SUSPENSION 5MG/ML,5,Specialty Tier,33%,N/A,P,2017
ABILIFY MAINTENA ER 300 MG SYR,4,Non-Preferred Drug,48%,48%,Q:1/28Days,2017
ABILIFY MAINTENA ER 300 MG VL,4,Non-Preferred Drug,48%,48%,Q:1/28Days,2017
ABILIFY MAINTENA ER 400 MG SYR,4,Non-Preferred Drug,48%,48%,Q:1/28Days,2017
ABRAXANE 100MG VIAL,5,Specialty Tier,33%,N/A,P,2017
Acamprosate Calcium DR 333 MG tablets [Campral],4,Non-Preferred Drug,48%,48%,None,2017
ACARBOSE 100 MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ACARBOSE 25 MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
Acarbose 50mg/1 100 TABLET BOTTLE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ACEBUTOLOL 200MG CAPSULE,2,Generic,$17.00 ,$42.50 ,None,2017
ACEBUTOLOL 400MG CAPSULE,2,Generic,$17.00 ,$42.50 ,None,2017
ACELLULAR PERTUSSIS VACCINE 50 UNT/ML / DIPHTHERIA TOXOID VACCINE 50 UNT/ML / TETANUS TOXOID VACCINE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ACETAMINOP-CODEINE 120-12 MG/5,2,Generic,$17.00 ,$42.50 ,Q:5000/30Days,2017
ACETAMINOPHEN AND CODEINE PHOSPHATE TABLET USP 300MG-15MG (100 CT),2,Generic,$17.00 ,$42.50 ,Q:400/30Days,2017
ACETAMINOPHEN-COD #3 TABLET,2,Generic,$17.00 ,$42.50 ,Q:400/30Days,2017
ACETAMINOPHEN-COD #4 TABLET,2,Generic,$17.00 ,$42.50 ,Q:400/30Days,2017
ACETAZOLAMIDE 125MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ACETAZOLAMIDE 250MG TABLET (100 CT),3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ACETAZOLAMIDE ER CAPSULES 500MG 100 BOT,4,Non-Preferred Drug,48%,48%,None,2017
ACETIC ACID 2% EAR SOLUTION,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ACETYLCYSTEINE 10% VIAL,3,Preferred Brand,$47.00 ,$117.50 ,P,2017
ACETYLCYSTEINE 20% VIAL,3,Preferred Brand,$47.00 ,$117.50 ,P,2017
ACITRETIN 10 MG CAPSULE [Soriatane],5,Specialty Tier,33%,N/A,P,2017
ACITRETIN 17.5 MG CAPSULE [Soriatane],5,Specialty Tier,33%,N/A,P,2017
ACITRETIN 25 MG CAPSULE [Soriatane],5,Specialty Tier,33%,N/A,P,2017
ACTHIB VACCINE WITH DILUENT,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ACTIMMUNE 100 MCG/0.5 ML VIAL,5,Specialty Tier,33%,N/A,P,2017
Acyclovir 200mg 100 CAPSULE BOTTLE,2,Generic,$17.00 ,$42.50 ,None,2017
Acyclovir 200mg/5mL 473 mL BOTTLE,4,Non-Preferred Drug,48%,48%,None,2017
Acyclovir 400mg/1,2,Generic,$17.00 ,$42.50 ,None,2017
ACYCLOVIR 800 MG TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
Acyclovir sodium 500 mg vial,4,Non-Preferred Drug,48%,48%,P,2017
ADACEL VIAL 2UNT/5UNT,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ADAGEN 250U/ML VIAL,5,Specialty Tier,33%,N/A,P,2017
ADALIMUMAB 50 MG/ML PREFILLED SYRINGE [HUMIRA],5,Specialty Tier,33%,N/A,P Q:2/28Days,2017
ADCIRCA TABLETS 20MG 60 BOTTLE,5,Specialty Tier,33%,N/A,P,2017
ADEFOVIR DIPIVOXIL 10 MG TAB [Hepsera],5,Specialty Tier,33%,N/A,None,2017
ADEMPAS 0.5 MG TABLET,5,Specialty Tier,33%,N/A,P Q:90/30Days,2017
ADEMPAS 1 MG TABLET,5,Specialty Tier,33%,N/A,P Q:90/30Days,2017
ADEMPAS 1.5 MG TABLET,5,Specialty Tier,33%,N/A,P Q:90/30Days,2017
ADEMPAS 2 MG TABLET,5,Specialty Tier,33%,N/A,P Q:90/30Days,2017
ADEMPAS 2.5 MG TABLET,5,Specialty Tier,33%,N/A,P Q:90/30Days,2017
Adriamycin 20 mg/10 ml vial,4,Non-Preferred Drug,48%,48%,P,2017
ADRUCIL 50mg/mL 10 VIAL in 1 TRAY / 10 mL in 1 VIAL,4,Non-Preferred Drug,48%,48%,P,2017
ADVAIR DISKUS MIS 100/50,4,Non-Preferred Drug,48%,48%,Q:60/30Days,2017
ADVAIR DISKUS MIS 250/50,4,Non-Preferred Drug,48%,48%,Q:60/30Days,2017
ADVAIR DISKUS MIS 500/50,4,Non-Preferred Drug,48%,48%,Q:60/30Days,2017
"ADVAIR HFA 230; 21ug/1; ug/1 120 AEROSOL, METERED in 1 INHALER",4,Non-Preferred Drug,48%,48%,Q:12/30Days,2017
ADVAIR HFA INHALER 115;21MCG;MCG 120ACTN INHL,4,Non-Preferred Drug,48%,48%,Q:12/30Days,2017
ADVAIR HFA INHALER 45;21MCG;MCG 120 ACTN INHL,4,Non-Preferred Drug,48%,48%,Q:12/30Days,2017
AFEDITAB CR 30MG TABLET SA,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AFEDITAB CR 60MG TABLET SA,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
Afinitor 7.5mg/1 28 BLISTER PACK per CARTON / 1 TABLET per BLISTER PACK,5,Specialty Tier,33%,N/A,P,2017
AFINITOR DISPERZ 2 MG TABLET,5,Specialty Tier,33%,N/A,P,2017
AFINITOR DISPERZ 3 MG TABLET,5,Specialty Tier,33%,N/A,P,2017
AFINITOR DISPERZ 5 MG TABLET,5,Specialty Tier,33%,N/A,P,2017
AFINITOR TABLETS 10 MG,5,Specialty Tier,33%,N/A,P,2017
AFINITOR TABLETS 2.5 MG,5,Specialty Tier,33%,N/A,P,2017
AFINITOR TABLETS 5 MG,5,Specialty Tier,33%,N/A,P,2017
AGGRENOX 25-200MG CAPSULE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ALA-CORT 1% CREAM,2,Generic,$17.00 ,$42.50 ,None,2017
Ala-cort 2.5% cream,2,Generic,$17.00 ,$42.50 ,None,2017
ALBENZA 200 MG TABLET,5,Specialty Tier,33%,N/A,None,2017
"ALBUTEROL SULFATE 0.75mg/3mL 30 POUCH per CARTON / 1 VIAL, SINGLE-DOSE in 1 POUCH / 3 mL in 1 VIAL",2,Generic,$17.00 ,$42.50 ,P,2017
ALBUTEROL SULFATE 1.25MG/3ML VIAL NEBULIZER,2,Generic,$17.00 ,$42.50 ,P,2017
ALBUTEROL SULFATE INHALATION SOLUTION 0.5% 20ML BOTDR,2,Generic,$17.00 ,$42.50 ,P,2017
ALBUTEROL SULFATE SOLUTION FOR INHALATION,2,Generic,$17.00 ,$42.50 ,P,2017
ALBUTEROL SULFATE SYRUP 2MG/5ML 16 FLO BOT,2,Generic,$17.00 ,$42.50 ,None,2017
ALBUTEROL SULFATE TABLET 2MG (500 CT),4,Non-Preferred Drug,48%,48%,None,2017
ALBUTEROL TABLET 4MG (500 CT),4,Non-Preferred Drug,48%,48%,None,2017
ALCLOMETASONE DIPROPIONATE 0.05% CREAM,4,Non-Preferred Drug,48%,48%,None,2017
Alclometasone Dipropionate 0.5mg/g 1 TUBE per CARTON / 60 g in 1 TUBE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ALDURAZYME 2.9MG/5ML VIAL,5,Specialty Tier,33%,N/A,P,2017
ALECENSA 150 MG CAPSULE,5,Specialty Tier,33%,N/A,P,2017
ALENDRONATE SODIUM 10 MG TABLET,1,Preferred Generic,$3.00 ,$7.50 ,None,2017
ALENDRONATE SODIUM 35 MG TABLET,1,Preferred Generic,$3.00 ,$7.50 ,None,2017
ALENDRONATE SODIUM 40 MG TABLET,1,Preferred Generic,$3.00 ,$7.50 ,None,2017
ALENDRONATE SODIUM 5 MG TABLET,1,Preferred Generic,$3.00 ,$7.50 ,None,2017
ALENDRONATE SODIUM 70 MG TAB,1,Preferred Generic,$3.00 ,$7.50 ,None,2017
"ALFUZOSIN HYDROCHLORIDE 10mg/1 100 TABLET, EXTENDED RELEASE in 1 BOTTLE",2,Generic,$17.00 ,$42.50 ,None,2017
ALIMTA 500MG VIAL,5,Specialty Tier,33%,N/A,P,2017
ALINIA 100 MG/5 ML SUSPENSION,4,Non-Preferred Drug,48%,48%,None,2017
ALINIA 500 MG TABLET,4,Non-Preferred Drug,48%,48%,None,2017
ALLOPURINOL 100 MG TABLETS,2,Generic,$17.00 ,$42.50 ,None,2017
"Allopurinol 300mg/1 100 BLISTER PACK in 1 BOX, UNIT-DOSE / 1 TABLET per BLISTER PACK",2,Generic,$17.00 ,$42.50 ,None,2017
ALOSETRON HCL 0.5 MG TABLET [Lotronex],5,Specialty Tier,33%,N/A,P,2017
ALOSETRON HCL 1 MG TABLET [Lotronex],5,Specialty Tier,33%,N/A,P,2017
ALPHAGAN P 0.1% DROPS,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ALPHAGAN P 0.15% EYE DROPS,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ALPRAZOLAM 0.25 MG TABLET,2,Generic,$17.00 ,$42.50 ,Q:480/30Days,2017
ALPRAZOLAM 0.5 MG TABLET,2,Generic,$17.00 ,$42.50 ,Q:240/30Days,2017
ALPRAZOLAM 1 MG TABLET,2,Generic,$17.00 ,$42.50 ,Q:120/30Days,2017
ALPRAZOLAM 2 MG TABLET,2,Generic,$17.00 ,$42.50 ,Q:150/30Days,2017
ALREX 0.2% EYE DROPS,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ALUNBRIG 30 MG TABLET,5,Specialty Tier,33%,N/A,P,2017
Alyacen 1-35-28 tablet,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
AMANTADINE 100MG CAPSULE,4,Non-Preferred Drug,48%,48%,Q:120/30Days,2017
AMANTADINE 100MG TABLET,4,Non-Preferred Drug,48%,48%,None,2017
Amantadine Hydrochloride 50mg/5mL 473 mL in 1 BOTTLE,2,Generic,$17.00 ,$42.50 ,None,2017
AMBISOME 50MG VIAL,4,Non-Preferred Drug,48%,48%,P,2017
AMIKACIN SULFATE 500 MG/2 ML VIAL,4,Non-Preferred Drug,48%,48%,None,2017
AMILORIDE HCL W/HCTZ 5MG-50MG TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
AMILORIDE HYDROCHLORIDE TABLETS 5MG 100 BOT,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
Aminophylline 25mg/mL 5 TRAY per CARTON / 5 AMPULE in 1 TRAY / 10 mL in 1 AMPULE,4,Non-Preferred Drug,48%,48%,None,2017
