name,tier_num,tier_desc,cost_30,cost_90,management,year
CABOMETYX 40 MG TABLET,5,Specialty Tier,25%,N/A,P Q:30/30Days,2017
CABOMETYX 60 MG TABLET,5,Specialty Tier,25%,N/A,P Q:30/30Days,2017
CALCIPOTRIENE 0.005% CREAM,4,Non-Preferred Drug,35%,30%,Q:120/30Days,2017
CALCIPOTRIENE TOPICAL SOLUTION,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2017
CALCITONIN SALMON NASAL SPRAY 200IU/SPRY,3,Preferred Brand,20%,15%,Q:4/28Days,2017
CALCITRIOL 0.25MCG CAPSULE,2,Generic,$1.00,$0.00,None,2017
CALCITRIOL 0.5 MCG CAPSULE,2,Generic,$1.00,$0.00,None,2017
Calcitriol 1 mcg/ml ampul,3,Preferred Brand,20%,15%,None,2017
CALCITRIOL 1MCG/ML SOLUTION ORAL,4,Non-Preferred Drug,35%,30%,None,2017
Calcium Acetate 667 mg tablet,4,Non-Preferred Drug,35%,30%,None,2017
CALCIUM ACETATE CAPSULE 667 MG,3,Preferred Brand,20%,15%,None,2017
CAMILA 0.35 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2017
Camrese Lo tablet,4,Non-Preferred Drug,35%,30%,Q:91/90Days,2017
"CANASA 1,000 MG SUPPOSITORY",3,Preferred Brand,20%,15%,Q:30/30Days,2017
CANCIDAS IV 50MG VIAL,5,Specialty Tier,25%,N/A,None,2017
CANCIDAS IV 70MG VIAL,5,Specialty Tier,25%,N/A,None,2017
CANDESARTAN CILEXETIL 16 MG TABLET [Atacand],3,Preferred Brand,20%,15%,Q:60/30Days,2017
CANDESARTAN CILEXETIL 32 MG TABLET [Atacand],3,Preferred Brand,20%,15%,Q:30/30Days,2017
CANDESARTAN CILEXETIL 4 MG TABLET [Atacand],3,Preferred Brand,20%,15%,Q:60/30Days,2017
CANDESARTAN CILEXETIL 8 MG TABLET [Atacand],3,Preferred Brand,20%,15%,Q:60/30Days,2017
candesartan-hctz 16-12.5 mg tablet,3,Preferred Brand,20%,15%,Q:30/30Days,2017
candesartan-hctz 32-12.5 mg tablet,3,Preferred Brand,20%,15%,Q:30/30Days,2017
candesartan-hctz 32-25 mg,3,Preferred Brand,20%,15%,Q:30/30Days,2017
"CAPASTAT SULFATE 1g/1 1 INJECTION, POWDER, FOR SOLUTION per CARTON",4,Non-Preferred Drug,35%,30%,None,2017
CAPRELSA 100mg/1 30 TABLET BOTTLE,5,Specialty Tier,25%,N/A,P Q:60/30Days,2017
CAPRELSA 300mg/1 30 TABLET BOTTLE,5,Specialty Tier,25%,N/A,P Q:30/30Days,2017
CAPTOPRIL 100MG TABLET,3,Preferred Brand,20%,15%,None,2017
CAPTOPRIL 12.5MG TABLET,3,Preferred Brand,20%,15%,None,2017
CAPTOPRIL 25MG TABLET,3,Preferred Brand,20%,15%,None,2017
CAPTOPRIL 50MG TABLET,3,Preferred Brand,20%,15%,None,2017
Captopril and Hydrochlorothiazide 25; 15mg 100 TABLET BOTTLE,3,Preferred Brand,20%,15%,None,2017
Captopril and Hydrochlorothiazide 25; 25mg 100 TABLET BOTTLE,3,Preferred Brand,20%,15%,None,2017
Captopril and Hydrochlorothiazide 50; 15mg 100 TABLET BOTTLE,3,Preferred Brand,20%,15%,None,2017
Captopril and Hydrochlorothiazide 50; 25mg 100 TABLET BOTTLE,3,Preferred Brand,20%,15%,None,2017
Carbaglu 200mg/1 5 TABLET BOTTLE,5,Specialty Tier,25%,N/A,P,2017
CARBAMAZEPINE 100 MG/5 ML SUSP,4,Non-Preferred Drug,35%,30%,None,2017
"Carbamazepine 100mg, CHEWABLE 100 TABLET BOTTLE",2,Generic,$1.00,$0.00,None,2017
"Carbamazepine 100mg/1 120 CAPSULE, EXTENDED RELEASE in 1 BOTTLE",4,Non-Preferred Drug,35%,30%,None,2017
"Carbamazepine 200mg/1 120 CAPSULE, EXTENDED RELEASE in 1 BOTTLE",4,Non-Preferred Drug,35%,30%,None,2017
"Carbamazepine 300mg/1 120 CAPSULE, EXTENDED RELEASE in 1 BOTTLE",4,Non-Preferred Drug,35%,30%,None,2017
CARBAMAZEPINE TABLET USP 200MG (1000 CT),3,Preferred Brand,20%,15%,None,2017
CARBAMAZEPINE XR 200 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2017
CARBAMAZEPINE XR 400 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2017
CARBIDOPA AND LEVEDOPA ORALLY DISINTEGRATING TABLETS 10;100MG;MG 100 BOT,4,Non-Preferred Drug,35%,30%,None,2017
"Carbidopa and Levodopa 25; 100mg/1; mg/1 100 BLISTER PACK in 1 BOX, UNIT-DOSE / 1 TABLET, EXTENDED",3,Preferred Brand,20%,15%,None,2017
"Carbidopa and Levodopa 50; 200mg/1; mg/1 100 BLISTER PACK in 1 BOX, UNIT-DOSE / 1 TABLET, EXTENDED",3,Preferred Brand,20%,15%,None,2017
CARBIDOPA AND LEVODOPA ORALLY DISINTEGRATING TABLETS 25;100MG;MG 100 BOT,4,Non-Preferred Drug,35%,30%,None,2017
CARBIDOPA AND LEVODOPA ORALLY DISINTEGRATING TABLETS 25;250MG;MG 100 BOT,4,Non-Preferred Drug,35%,30%,None,2017
CARBIDOPA-LEVODOPA 10-100 TAB,2,Generic,$1.00,$0.00,None,2017
CARBIDOPA-LEVODOPA 25-100 TAB,2,Generic,$1.00,$0.00,None,2017
CARBIDOPA-LEVODOPA 25-250 TAB,2,Generic,$1.00,$0.00,None,2017
Carboplatin 10mg/mL,3,Preferred Brand,20%,15%,None,2017
CARISOPRODOL TABLET USP 350MG (100 CT),2,Generic,$1.00,$0.00,None,2017
CARTEOLOL HCL OPHTHALMIC SOLUTION USP 1% 15ML BOT,2,Generic,$1.00,$0.00,None,2017
CARTIA XT 120MG CAPSULE SA,3,Preferred Brand,20%,15%,Q:60/30Days,2017
CARTIA XT 180MG CAPSULE SA,3,Preferred Brand,20%,15%,Q:60/30Days,2017
CARTIA XT 240MG CAPSULE SA,3,Preferred Brand,20%,15%,Q:60/30Days,2017
CARTIA XT 300MG CAPSULE SR 24 HR,3,Preferred Brand,20%,15%,Q:30/30Days,2017
"Carvedilol 12.5mg 100 FILM COATED TABLETS in BOTTLE, PLASTIC",1,Preferred Generic,$0.00,$0.00,None,2017
"Carvedilol 25mg 100 FILM COATED TABLETS in BOTTLE, PLASTIC",1,Preferred Generic,$0.00,$0.00,None,2017
"Carvedilol 3.125mg 100 FILM COATED TABLETS in BOTTLE, PLASTIC",1,Preferred Generic,$0.00,$0.00,None,2017
"Carvedilol 6.25mg 100 FILM COATED TABLETS in BOTTLE, PLASTIC",1,Preferred Generic,$0.00,$0.00,None,2017
CAYSTON KIT 75 MG/VIAL,5,Specialty Tier,25%,N/A,P Q:84/28Days,2017
CAZIANT 28 DAY TABLET,4,Non-Preferred Drug,35%,30%,None,2017
CEFACLOR 250 MG CAPSULES,3,Preferred Brand,20%,15%,None,2017
CEFACLOR 250 MG/5 ML SUSP,4,Non-Preferred Drug,35%,30%,None,2017
Cefaclor 375 mg/5 ml suspen,4,Non-Preferred Drug,35%,30%,None,2017
CEFACLOR 500 MG CAPSULES,3,Preferred Brand,20%,15%,None,2017
CEFACLOR ER 500MG TABLET SR 12HR,4,Non-Preferred Drug,35%,30%,None,2017
CEFACLOR SUS 125 MG/5ML,4,Non-Preferred Drug,35%,30%,None,2017
CEFADROXIL 1G TABLET,3,Preferred Brand,20%,15%,None,2017
CEFADROXIL 250 MG/5 ML SUSP,3,Preferred Brand,20%,15%,None,2017
CEFADROXIL 500 MG CAPSULE,3,Preferred Brand,20%,15%,None,2017
Cefadroxil 500mg/5mL,3,Preferred Brand,20%,15%,None,2017
Cefazolin 1 gm vial,3,Preferred Brand,20%,15%,None,2017
"Cefazolin 10g/1 10 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 PACKAGE",3,Preferred Brand,20%,15%,None,2017
CEFAZOLIN 500MG FOR INJECTION,3,Preferred Brand,20%,15%,None,2017
CEFDINIR 250MG/5ML SUSPENSION RECONSTITUTED ORAL,3,Preferred Brand,20%,15%,None,2017
CEFDINIR CAPSULES 300MG (60 CT),2,Generic,$1.00,$0.00,None,2017
CEFDINIR FOR ORAL SUSPENSION 125MG/5ML (100 CT),3,Preferred Brand,20%,15%,None,2017
CEFEPIME HCL 2 GRAM VIAL,4,Non-Preferred Drug,35%,30%,None,2017
CEFEPIME INJ 1GM 20ML APX 10x1G VIAL,4,Non-Preferred Drug,35%,30%,None,2017
Cefotaxime sodium 1 gm vial,3,Preferred Brand,20%,15%,None,2017
Cefotaxime sodium 2 gm vial,2,Generic,$1.00,$0.00,None,2017
Cefotaxime sodium 500 mg vial,2,Generic,$1.00,$0.00,None,2017
CEFOTETAN 1GM VIAL 1EA x 10,4,Non-Preferred Drug,35%,30%,None,2017
CEFOTETAN 2GM VIAL 1EA x 10,4,Non-Preferred Drug,35%,30%,None,2017
Cefoxitin 1g/1 10 POWDER per CARTON,4,Non-Preferred Drug,35%,30%,None,2017
Cefoxitin 2g/1 10 POWDER per CARTON,4,Non-Preferred Drug,35%,30%,None,2017
CEFOXITIN FOR INJECTION SOLUTION,4,Non-Preferred Drug,35%,30%,None,2017
CEFPODOXIME 100 MG/5 ML SUSP,4,Non-Preferred Drug,35%,30%,None,2017
CEFPODOXIME 200 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2017
CEFPODOXIME 50 MG/5 ML SUSP,4,Non-Preferred Drug,35%,30%,None,2017
CEFPODOXIME PROXETIL FILM COATED TABLET 100MG (20 CT),4,Non-Preferred Drug,35%,30%,None,2017
CEFPROZIL 125 MG/5 ML SUSP,4,Non-Preferred Drug,35%,30%,None,2017
cefprozil 250 mg/5 ml susp,4,Non-Preferred Drug,35%,30%,None,2017
Cefprozil 250mg 100 FILM COATED TABLETS in BOTTLE,3,Preferred Brand,20%,15%,None,2017
CEFPROZIL TABLETS 500MG 100 BOT,3,Preferred Brand,20%,15%,None,2017
"CEFTAZIDIME 1g 25 VIAL per CARTON / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL",4,Non-Preferred Drug,35%,30%,None,2017
CEFTAZIDIME FOR INJECTION 2GM/VIAL 10 X 2 CRTN,4,Non-Preferred Drug,35%,30%,None,2017
CEFTAZIDIME FOR INJECTION 6GM/VIAL 6 X 6 CRTN,4,Non-Preferred Drug,35%,30%,None,2017
CEFTRIAXONE 10GM VIAL,3,Preferred Brand,20%,15%,None,2017
CEFTRIAXONE 250 MG VIAL,3,Preferred Brand,20%,15%,None,2017
CEFTRIAXONE FOR INJECTION,3,Preferred Brand,20%,15%,None,2017
CEFTRIAXONE FOR INJECTION,3,Preferred Brand,20%,15%,None,2017
Ceftriaxone Sodium 500mg,3,Preferred Brand,20%,15%,None,2017
CEFUROXIME 1.5 GM/VIAL FOR INJECTION,3,Preferred Brand,20%,15%,None,2017
CEFUROXIME 7.5 GM FOR INJECTION,3,Preferred Brand,20%,15%,None,2017
CEFUROXIME 750 MG FOR INJECTION,3,Preferred Brand,20%,15%,None,2017
Cefuroxime Axetil 250 MG,3,Preferred Brand,20%,15%,None,2017
CEFUROXIME AXETIL 500 MG TAB,3,Preferred Brand,20%,15%,None,2017
CELLCEPT 200 MG/ML ORAL SUSP,5,Specialty Tier,25%,N/A,P,2017
CELLCEPT 500 MG TABLET,5,Specialty Tier,25%,N/A,P,2017
CELLCEPT CAPSULES 250 MG (500 CT),4,Non-Preferred Drug,35%,30%,P,2017
CELLCEPT IV INJ 500 MG,4,Non-Preferred Drug,35%,30%,P,2017
CELONTIN 300 MG KAPSEAL,4,Non-Preferred Drug,35%,30%,None,2017
Cephalexin 125mg/5mL 200 mL in 1 BOTTLE,2,Generic,$1.00,$0.00,None,2017
CEPHALEXIN 250 MG CAPSULE,1,Preferred Generic,$0.00,$0.00,None,2017
CEPHALEXIN 250 MG TABLET,2,Generic,$1.00,$0.00,None,2017
CEPHALEXIN 250 MG/5ML ORAL SUSP,2,Generic,$1.00,$0.00,None,2017
CEPHALEXIN 500 MG TABLET,2,Generic,$1.00,$0.00,None,2017
CEPHALEXIN 750 MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2017
CEPHALEXIN CAPSULES 500 MG (500 CT),1,Preferred Generic,$0.00,$0.00,None,2017
CERDELGA 84 MG CAPSULE,5,Specialty Tier,25%,N/A,P Q:60/30Days,2017
CEREZYME 400 UNITS VIAL,5,Specialty Tier,25%,N/A,P,2017
CETIRIZINE HCL 1 MG/ML SOLN,2,Generic,$1.00,$0.00,Q:300/30Days,2017
CHANTIX 0.5 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:56/28Days,2017
CHANTIX 1 MG CONT MONTH BOX,4,Non-Preferred Drug,35%,30%,Q:56/28Days,2017
CHANTIX 1 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:56/28Days,2017
CHANTIX STARTING MONTH BOX,4,Non-Preferred Drug,35%,30%,Q:56/28Days,2017
CHEMET 100 MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2017
Chenodal 250mg 100 FILM COATED TABLETS in BOTTLE,5,Specialty Tier,25%,N/A,P,2017
CHLORAMPHEN NA SUCC 1GM VL,2,Generic,$1.00,$0.00,None,2017
"CHLORDIAZEPOXIDE HCL 10mg 100 BLISTER PACK in 1 BOX, UNIT-DOSE / 1 CAPSULE in 1 BLISTER",4,Non-Preferred Drug,35%,30%,Q:120/30Days,2017
"CHLORDIAZEPOXIDE HCL 25mg 100 BLISTER PACK in 1 BOX, UNIT-DOSE / 1 CAPSULE in 1 BLISTER",4,Non-Preferred Drug,35%,30%,Q:120/30Days,2017
"CHLORDIAZEPOXIDE HCL 5mg 100 BLISTER PACK in 1 BOX, UNIT-DOSE / 1 CAPSULE in 1 BLISTER",4,Non-Preferred Drug,35%,30%,Q:120/30Days,2017
CHLORHEXIDINE GLUCONATE 0.12% RINSE,1,Preferred Generic,$0.00,$0.00,None,2017
CHLOROQUINE PH 250 MG TABLET,2,Generic,$1.00,$0.00,None,2017
CHLOROQUINE PH 500 MG TABLET,2,Generic,$1.00,$0.00,None,2017
CHLOROTHIAZIDE 250 MG TABLET,2,Generic,$1.00,$0.00,None,2017
Chlorothiazide 500mg 100 TABLET BOTTLE,2,Generic,$1.00,$0.00,None,2017
CHLOROTHIAZIDE SODIUM FOR INJECTION 500MG/VIAL,2,Generic,$1.00,$0.00,None,2017
CHLORPROMAZINE 10 MG TABLET,4,Non-Preferred Drug,35%,30%,P,2017
CHLORPROMAZINE 25 MG TABLET,4,Non-Preferred Drug,35%,30%,P,2017
CHLORPROMAZINE 25 MG/ML AMP,4,Non-Preferred Drug,35%,30%,None,2017
CHLORPROMAZINE 50 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2017
CHLORPROMAZINE HCL 200 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2017
Chlorpromazine Hydrochloride 100mg SUGAR COATED 1000 TABLET BOTTLE,4,Non-Preferred Drug,35%,30%,None,2017
CHLORTHALIDONE 25 MG TABLET (100 CT),2,Generic,$1.00,$0.00,None,2017
CHLORTHALIDONE 50 MG TABLET (1000 CT),2,Generic,$1.00,$0.00,None,2017
CHOLBAM 250 MG CAPSULE,5,Specialty Tier,25%,N/A,P Q:120/30Days,2017
CHOLBAM 50 MG CAPSULE,5,Specialty Tier,25%,N/A,P Q:120/30Days,2017
CHOLESTYRAMINE LIGHT POWDER,3,Preferred Brand,20%,15%,None,2017
CHOLESTYRAMINE LIGHT POWDER FOR ORAL SUSPENSION,3,Preferred Brand,20%,15%,None,2017
CHORIONIC GONAD 10000U VIAL,3,Preferred Brand,20%,15%,P,2017
CICLOPIROX 0.77% TOPICAL SUSP,4,Non-Preferred Drug,35%,30%,None,2017
CICLOPIROX 1% SHAMPOO,4,Non-Preferred Drug,35%,30%,None,2017
CICLOPIROX 8% SOLUTION,4,Non-Preferred Drug,35%,30%,None,2017
CICLOPIROX GEL,4,Non-Preferred Drug,35%,30%,None,2017
Ciclopirox Olamine 7.7mg/g 1 TUBE in 1 TUBE / 15 g in 1 TUBE,2,Generic,$1.00,$0.00,None,2017
Cilostazol 50mg/1 60 TABLET BOTTLE,2,Generic,$1.00,$0.00,None,2017
CILOSTAZOL TABLET 100MG (60 CT),2,Generic,$1.00,$0.00,None,2017
"Cimetidine 200mg/1 100 FILM COATED TABLETS in BOTTLE, PLASTIC",2,Generic,$1.00,$0.00,None,2017
CIMETIDINE 300 MG TABLETS,2,Generic,$1.00,$0.00,None,2017
Cimetidine 400mg/1 100 FILM COATED TABLETS in BOTTLE,2,Generic,$1.00,$0.00,None,2017
"Cimetidine 800mg/1 100 FILM COATED TABLETS in BOTTLE, PLASTIC",1,Preferred Generic,$0.00,$0.00,None,2017
Cimetidine Hydrochloride Oral Solution 300mg/5mL 237 mL in 1 BOTTLE,2,Generic,$1.00,$0.00,None,2017
Cinryze 500[iU]/5mL 1 VIAL per CARTON / 5 mL in 1 VIAL,5,Specialty Tier,25%,N/A,P Q:20/30Days,2017
CIPROFLOXACIN 0.3% EYE DROP,2,Generic,$1.00,$0.00,None,2017
CIPROFLOXACIN 250 MG TABLET (100 CT),1,Preferred Generic,$0.00,$0.00,None,2017
Ciprofloxacin 400 mg/40 ml vl,2,Generic,$1.00,$0.00,None,2017
Ciprofloxacin and Dextrose 2mg/mL 24 BAG in 1 CASE / 100 mL in 1 BAG,2,Generic,$1.00,$0.00,None,2017
CIPROFLOXACIN HCL 100 MG TABLET,2,Generic,$1.00,$0.00,None,2017
CIPROFLOXACIN HCL 500 MG TAB,1,Preferred Generic,$0.00,$0.00,None,2017
CIPROFLOXACIN TABLETS 750 MG 100 BOT,2,Generic,$1.00,$0.00,None,2017
Cisplatin 100mg/100mL 1 VIAL per CARTON / 100 mL in 1 VIAL,4,Non-Preferred Drug,35%,30%,None,2017
CITALOPRAM HBR 10 MG TABLET,2,Generic,$1.00,$0.00,Q:30/30Days,2017
CITALOPRAM HBR 10 MG/5 ML SOLN,3,Preferred Brand,20%,15%,None,2017
CITALOPRAM HBR 20 MG TABLET,1,Preferred Generic,$0.00,$0.00,Q:60/30Days,2017
CITALOPRAM HYDROBROMIDE TABLETS 40 MG 30 BOT,1,Preferred Generic,$0.00,$0.00,Q:30/30Days,2017
Cladribine 10 mg/10 ml vial,5,Specialty Tier,25%,N/A,P,2017
CLARITHROMYCIN 125 MG/5ML FOR ORAL SUSPENSION,4,Non-Preferred Drug,35%,30%,None,2017
CLARITHROMYCIN 250 MG TABLET,3,Preferred Brand,20%,15%,None,2017
CLARITHROMYCIN 250 MG/5MLFOR ORAL SUSPENSION,4,Non-Preferred Drug,35%,30%,None,2017
CLARITHROMYCIN 500 MG TABLET,3,Preferred Brand,20%,15%,None,2017
CLARITHROMYCIN ER 500 MG TAB,3,Preferred Brand,20%,15%,None,2017
Clemastine fum 2.68 mg tab,4,Non-Preferred Drug,35%,30%,None,2017
CLINDAMAX 1% GEL,4,Non-Preferred Drug,35%,30%,None,2017
Clindamycin 150 MG/ML 2ml,3,Preferred Brand,20%,15%,None,2017
Clindamycin 150 MG/ML 6ml,3,Preferred Brand,20%,15%,None,2017
CLINDAMYCIN HCL 150 MG CAPSULE,2,Generic,$1.00,$0.00,None,2017
CLINDAMYCIN HCL 300 MG 100 CAPSULE in 1 BOTTLE,2,Generic,$1.00,$0.00,None,2017
CLINDAMYCIN HCL 75 MG 200 CAPSULE BOTTLE,2,Generic,$1.00,$0.00,None,2017
CLINDAMYCIN PEDIATR 75 MG/5 ML,4,Non-Preferred Drug,35%,30%,None,2017
CLINDAMYCIN PHOSP 1% LOTION,4,Non-Preferred Drug,35%,30%,None,2017
clindamycin phosphate 10mg/mL 1 BOTTLE per CARTON / 60 mL in 1 BOTTLE,3,Preferred Brand,20%,15%,None,2017
CLINDAMYCIN PHOSPHATE GEL 1% 30GRAM TUBE,4,Non-Preferred Drug,35%,30%,None,2017
CLINDAMYCIN PHOSPHATE TOPICAL SOLUTION USP PLEDGETS 1% 60 BOX,3,Preferred Brand,20%,15%,None,2017
CLINDAMYCIN PHOSPHATE VAGINAL CREAM,4,Non-Preferred Drug,35%,30%,None,2017
clindamycin-d5w 300 mg/50 ml,4,Non-Preferred Drug,35%,30%,None,2017
clindamycin-d5w 600 mg/50 ml,4,Non-Preferred Drug,35%,30%,None,2017
clindamycin-d5w 900 mg/50 ml,4,Non-Preferred Drug,35%,30%,None,2017
CLINIMIX 2.75%/5% INJECTION 1000ML BAG,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX 4.25/10 SOLUTION,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX 4.25/20 SOLUTION,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX 4.25/25 SOLUTION,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX 4.25/5 SOLUTION,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX 5/15 SOLUTION,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX 5/20 SOLUTION,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX 5/25 SULFITE FREE INJECTIONS 1035MG-420MEQ 1000ML BAG,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX E 2.75/10 SOLUTION,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX E 2.75/5 SOLUTION,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX E 4.25/25 SOLUTION,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX E 4.25/5 SOLUTION,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX E 4.25%-10% SOLUTION,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX E 5/20 SOLUTION,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX E 5/25 SOLUTION,4,Non-Preferred Drug,35%,30%,P,2017
CLINIMIX E 5%/15% INJECTION 2000ML BAG,4,Non-Preferred Drug,35%,30%,P,2017
CLOBETASOL 0.05% OINTMENT,4,Non-Preferred Drug,35%,30%,None,2017
CLOBETASOL E 0.05% CREAM,4,Non-Preferred Drug,35%,30%,None,2017
Clobetasol Propionate 0.4625mg/mL 1 BOTTLE per CARTON / 50 mL in 1 BOTTLE,4,Non-Preferred Drug,35%,30%,None,2017
CLOBETASOL PROPIONATE GEL .05% 60 GM TUBE,4,Non-Preferred Drug,35%,30%,None,2017
Clofarabine 20 mg/20 ml vial [Clolar],5,Specialty Tier,25%,N/A,None,2017
CLOLAR 20 MG/20 ML VIAL,5,Specialty Tier,25%,N/A,None,2017
CLOMIPRAMINE HCL 25MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2017
CLOMIPRAMINE HCL 50MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2017
CLOMIPRAMINE HCL 75MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2017
"Clonazepam 0.125mg/1 10 BLISTER PACK per CARTON / 6 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PAC",4,Non-Preferred Drug,35%,30%,None,2017
"Clonazepam 0.25mg/1 10 BLISTER PACK per CARTON / 6 TABLET, ORALLY DISINTEGRATING per BLISTER PACK",4,Non-Preferred Drug,35%,30%,None,2017
"Clonazepam 0.5mg/1 10 BLISTER PACK per CARTON / 6 TABLET, ORALLY DISINTEGRATING per BLISTER PACK",4,Non-Preferred Drug,35%,30%,None,2017
Clonazepam 0.5mg/1 100 TABLET BOTTLE,3,Preferred Brand,20%,15%,None,2017
CLONAZEPAM 1 MG TABLET,3,Preferred Brand,20%,15%,None,2017
"Clonazepam 1mg/1 10 BLISTER PACK per CARTON / 6 TABLET, ORALLY DISINTEGRATING per BLISTER PACK",4,Non-Preferred Drug,35%,30%,None,2017
"Clonazepam 2mg/1 10 BLISTER PACK per CARTON / 6 TABLET, ORALLY DISINTEGRATING per BLISTER PACK",4,Non-Preferred Drug,35%,30%,None,2017
Clonazepam 2mg/1 100 TABLET BOTTLE,3,Preferred Brand,20%,15%,None,2017
Clonidine 0.1mg/d 4 POUCH per CARTON / 1 PATCH in 1 POUCH / 7 d in 1 PATCH,4,Non-Preferred Drug,35%,30%,Q:4/28Days,2017
Clonidine 0.2mg/d 4 POUCH per CARTON / 1 PATCH in 1 POUCH / 7 d in 1 PATCH,4,Non-Preferred Drug,35%,30%,Q:4/28Days,2017
Clonidine 0.3mg/d 4 POUCH per CARTON / 1 PATCH in 1 POUCH / 7 d in 1 PATCH,4,Non-Preferred Drug,35%,30%,Q:4/28Days,2017
CLONIDINE HCL 0.1 MG TABLET,1,Preferred Generic,$0.00,$0.00,None,2017
CLONIDINE HCL 0.2MG TABLET (500 CT),1,Preferred Generic,$0.00,$0.00,None,2017
CLONIDINE HCL ER 0.1 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:120/30Days,2017
CLONIDINE HCL TABLET 0.3MG (100 CT),2,Generic,$1.00,$0.00,None,2017
CLOPIDOGREL 300 MG TABLET [Plavix],2,Generic,$1.00,$0.00,None,2017
CLOPIDOGREL 75 MG TABLET [Plavix],2,Generic,$1.00,$0.00,Q:30/30Days,2017
CLORAZEPATE 15 MG TABLET,3,Preferred Brand,20%,15%,None,2017
"Clorazepate Dipotassium 3.75mg/1 500 TABLET BOTTLE, PLASTIC",3,Preferred Brand,20%,15%,None,2017
"Clorazepate Dipotassium 7.5mg/1 500 TABLET BOTTLE, PLASTIC",3,Preferred Brand,20%,15%,None,2017
CLORPRES 0.1-15 TABLET,4,Non-Preferred Drug,35%,30%,None,2017
CLORPRES 0.2-15 TABLET,4,Non-Preferred Drug,35%,30%,None,2017
CLORPRES 0.3-15 TABLET,4,Non-Preferred Drug,35%,30%,None,2017
CLOTRIMAZOLE 1% CREAM,2,Generic,$1.00,$0.00,None,2017
CLOTRIMAZOLE 1% SOLUTION,3,Preferred Brand,20%,15%,None,2017
CLOTRIMAZOLE 10MG TROCHE,2,Generic,$1.00,$0.00,None,2017
CLOTRIMAZOLE-BETAMETHASONE 1-0.05% LOTION,4,Non-Preferred Drug,35%,30%,None,2017
CLOTRIMAZOLE/BETAMETHASONE DIPROPIONATE 0.64; 10mg/g; mg/g 45 g in 1 TUBE,3,Preferred Brand,20%,15%,None,2017
Clozapine 100 MG Disintegrating Oral Tablet,4,Non-Preferred Drug,35%,30%,P,2017
Clozapine 100mg/1 100 TABLET BOTTLE,3,Preferred Brand,20%,15%,None,2017
CLOZAPINE 200MG TABLET (500 CT),3,Preferred Brand,20%,15%,None,2017
Clozapine 25 MG Disintegrating Oral Tablet,4,Non-Preferred Drug,35%,30%,P,2017
CLOZAPINE 25MG TABLET (100 CT),3,Preferred Brand,20%,15%,None,2017
CLOZAPINE 50MG TABLET (500 CT),3,Preferred Brand,20%,15%,None,2017
CLOZAPINE ODT 12.5 MG TABLET,4,Non-Preferred Drug,35%,30%,P,2017
CLOZAPINE ODT 150 MG TABLET,4,Non-Preferred Drug,35%,30%,P,2017
CLOZAPINE ODT 200 MG TABLET,4,Non-Preferred Drug,35%,30%,P,2017
COARTEM 20MG-120MG,4,Non-Preferred Drug,35%,30%,Q:24/30Days,2017
CODEINE SULFATE 15 mg tablet,3,Preferred Brand,20%,15%,Q:360/30Days,2017
CODEINE SULFATE 30 mg tablet,3,Preferred Brand,20%,15%,Q:360/30Days,2017
CODEINE SULFATE 60 mg tablet,3,Preferred Brand,20%,15%,Q:180/30Days,2017
COLCRYS 0.6 MG TABLET,3,Preferred Brand,20%,15%,Q:120/30Days,2017
COLESTIPOL HCL 1G TABLET,3,Preferred Brand,20%,15%,None,2017
COLESTIPOL HYDROCHLORIDE 5g/1 100 SUSPENSION in 1 BOTTLE,4,Non-Preferred Drug,35%,30%,None,2017
